n,Overlay_mean,Overlay_bias,Overlay_RMSE,OLS_mean,OLS_bias,ITT_mean,ITT_bias
500,2.2903856104848517,0.008921101565104284,0.19559566215233515,2.373926127369918,0.09246161845017076,1.1470510136984011,-1.1344134952213463
2000,2.282090474038028,0.0006259651182807247,0.08925615694173712,2.37656476882425,0.09510025990450277,1.1403883980465939,-1.1410761108731535
10000,2.2803732678894995,-0.0010912410302479358,0.04198452946658836,2.3744542612675446,0.09298975234779716,1.1408320176360327,-1.1406324912837147
50000,2.281961926013617,0.0004974170938694122,0.018668643244440182,2.3758420959441673,0.0943775870244199,1.1407301239975522,-1.1407343849221951
