n,ATT_A_mean,ATT_A_bias,ATT_A_RMSE
500,1.8524478789934335,0.0002609895937231155,0.16504824751502115
2000,1.8612515602494222,0.009064670849711742,0.08263777020052347
10000,1.85165501473632,-0.0005318746633904414,0.03516706438511747
50000,1.8503461848815197,-0.0018407045181907389,0.01628451214086963
