n,ATT_mean,ATT_bias,ATT_rmse,ATT_sd,p_mean,ITT_mean
500,1.6110167531726063,0.011016753172606197,0.22530599230940543,0.2250364888636057,0.40065297008086953,0.6450718707390187
1000,1.6049544667988263,0.004954466798826163,0.1544748963202237,0.15439542367532527,0.39981423980147907,0.6416323439413261
5000,1.601878871622048,0.0018788716220479174,0.07133217399340923,0.0713074251957948,0.3995179492191585,0.6399749779786804
10000,1.5993130086780767,-0.0006869913219234025,0.04993733549362402,0.049932609776841864,0.3999388182859738,0.6396284013906048
50000,1.6006710271073026,0.0006710271073024909,0.022039903949650278,0.022029686532746565,0.39996741208663095,0.6402148152243574
