n,CATT_bias,CATT_RMSE,CI_coverage,CI_width,SR_ub
500,0.015346747730132337,0.3011886855690667,0.991,1.206962938202326,3.3312457526616654
2000,0.0021158719248581814,0.15332733674267726,1.0,1.192200454327251,3.3312457526616654
10000,0.0011815384943920648,0.06511614991661897,1.0,1.1908294883994994,3.3312457526616654
50000,-0.0005895120726053804,0.03033445737251491,1.0,1.1896304628548302,3.3312457526616654
