n,MTE_bias_p1,MTE_bias_p2,CATE_RMSE,CATE_mean
2000,0.042277372787269174,0.006011128795603504,0.3692610670978738,1.2412043141926865
10000,-0.0046963952800098685,-0.005083568734638222,0.2513575658792997,1.2175519419744825
50000,0.00773310947363548,-0.00943144854487521,0.2269972925629846,1.2190761467616043
200000,0.0002502726419182366,0.0028642671623311244,0.22631804560804497,1.2244493690801872
