n,ATT_B_mean,ATT_B_bias,ATT_B_RMSE
500,1.3297022303021557,0.003246234294238093,0.136402767019794
2000,1.3234429227779896,-0.003013073229928054,0.07231151399650747
10000,1.3294911418582138,0.0030351458502961837,0.032512955744518464
50000,1.3266113998484697,0.00015540384055201528,0.01334775356580981
