n,CATT_bias,CATT_RMSE,CI_coverage,CI_width,SR_ub
500,-0.006504801474754407,0.2948142407254181,0.0,0.9835393825976473,3.339834878563604
2000,-0.0025636037816316737,0.15717884119179618,0.0,0.9802062010643089,3.339834878563604
10000,-0.000501543250744696,0.06699425349753722,0.0,0.9806506180283805,3.339834878563604
50000,-0.0003837565113198327,0.030292200134183753,0.0,0.9798310810505421,3.339834878563604
