n,CATT_bias,CATT_RMSE,CI_coverage,CI_width,SR_ub
500,0.008252566474518552,0.3181765154883766,0.133,0.6963420470591142,3.328584552704808
2000,-0.011946342505289032,0.15362301421152674,0.006,0.6682340355733578,3.328584552704808
10000,0.0001743595174407142,0.06685691352577386,0.0,0.6729769293455563,3.328584552704808
50000,0.00038066918447621223,0.030823399177484292,0.0,0.67230862565864,3.328584552704808
